source_identity_reference	decision_reference	status	artifact_path	expected_sha256	observed_sha256	retrieval_reference	artifact_size_bytes	creates_source_truth	creates_source_audit_admission
ERIC:ED167371	screening-decision:f628f9ed1748eb75e61e4df2ef781e3a77deff116a867a28c0e6eb4fff869878	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/82/82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9.pdf	82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	http-retrieval:82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	833646	False	False
ERIC:ED167372	screening-decision:5271c25ad6055d7056a0a665da573d1289311ffadbddda7d619c4037b87126cd	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.real-eric-round2/fulltext/cache/49/4965b10155b9f2b8fa5d0377eaa21a45ffc1fab025a798350e099e211923f4b3.pdf	4965b10155b9f2b8fa5d0377eaa21a45ffc1fab025a798350e099e211923f4b3	4965b10155b9f2b8fa5d0377eaa21a45ffc1fab025a798350e099e211923f4b3	http-retrieval:4965b10155b9f2b8fa5d0377eaa21a45ffc1fab025a798350e099e211923f4b3	896798	False	False
ERIC:ED629161	screening-decision:0183e32762f148e4afc260834fedd6cae861ef52d320f99a4abedb677fac8b1f	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/78/7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e.pdf	7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	http-retrieval:7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	445912	False	False
ERIC:EJ1060858	screening-decision:8927b03076f54518c551ef15bf3c5dcd04857dc52a9f99d9b2246b4463117f6d	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.real-eric-round2/fulltext/cache/b8/b8f485232b054188f46324832d9001b300c80c234f32653637d8b68148e37090.pdf	b8f485232b054188f46324832d9001b300c80c234f32653637d8b68148e37090	b8f485232b054188f46324832d9001b300c80c234f32653637d8b68148e37090	http-retrieval:b8f485232b054188f46324832d9001b300c80c234f32653637d8b68148e37090	204810	False	False
ERIC:EJ1091119	screening-decision:78bbc23f0e562e22f5106279c8388d394e59a628b747a932cc47525928ead296	pending						False	False
ERIC:EJ1108428	screening-decision:d05c634f98fd180ac61f2e52e2f1e53206bd4c56bf57702c0534ba3e4007237a	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/f5/f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522.pdf	f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	http-retrieval:f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	1196394	False	False
ERIC:EJ1119572	screening-decision:2baa404ec034dd8a5ebc1553435db2abc9e151f815f8956b8362d4707103dbdf	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/40/40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd.pdf	40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	http-retrieval:40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	482940	False	False
ERIC:EJ1163203	screening-decision:a594b880cdf899144a0c1d6a2ebfdd213e1be62c7b4c3aac6e4b964accee8767	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.real-eric-round2/fulltext/cache/8b/8b5f4a2bc4b6b6c86b7420450e5733310432e19c80e51af52a21b59fefad3ada.pdf	8b5f4a2bc4b6b6c86b7420450e5733310432e19c80e51af52a21b59fefad3ada	8b5f4a2bc4b6b6c86b7420450e5733310432e19c80e51af52a21b59fefad3ada	http-retrieval:8b5f4a2bc4b6b6c86b7420450e5733310432e19c80e51af52a21b59fefad3ada	559036	False	False
ERIC:EJ1234796	screening-decision:6c3889d619ae2ca3550eee9cd8900e649e93f1cc6fb97d6994411d0def9d9f80	pending						False	False
ERIC:EJ1249427	screening-decision:591ee443f74ec8b96028f6acafae339c54279388c02c0e3f5634731a9e97a331	pending						False	False
