source_identity_reference	decision_reference	status	artifact_path	expected_sha256	observed_sha256	retrieval_reference	artifact_size_bytes	creates_source_truth	creates_source_audit_admission
ERIC:ED167371	review-packet:fe32125887952398654713129ee7474af0ff74c5a684ac3043a716b32dad8444	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/82/82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9.pdf	82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	http-retrieval:82dcc6542a8a40e27937da18fd490719f3047d516b9e81d82e1ef4586950efc9	833646	False	False
ERIC:ED629161	review-packet:768ef9ecf2b953c36f90f2e4c9d43911b334eed8608c1089423be77ddb054b35	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/78/7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e.pdf	7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	http-retrieval:7845bfb3b9e27f8be2ccc8868f5a40c184d6587c507bd305a8b14549dd99037e	445912	False	False
ERIC:EJ1108428	review-packet:601128f6886d6edf87c16bec6f9975d8d7de8addcecdf35703641ddc6e278e8b	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/f5/f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522.pdf	f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	http-retrieval:f53966d52b6be31b5eedc9e758f9786eb048d5acc92503966d490e5ea03fb522	1196394	False	False
ERIC:EJ1119572	review-packet:014674f844a1615a0e4aef912d379986fa61d6a3dc14083c89ba5fce946e852f	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/40/40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd.pdf	40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	http-retrieval:40e7ef8197de468d57cc62510b8de816c08548c269b1f7f2e6124e9c43c022fd	482940	False	False
ERIC:EJ1286444	review-packet:40ec2e92c2573fd90558c91a0d401f87c6648eb98df04f02e94b65e5cdfb88e1	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/39/391245af0ce703f606fc6a40ef35baec4e07d1fbf8eb9b547f649a5df171fc1a.pdf	391245af0ce703f606fc6a40ef35baec4e07d1fbf8eb9b547f649a5df171fc1a	391245af0ce703f606fc6a40ef35baec4e07d1fbf8eb9b547f649a5df171fc1a	http-retrieval:391245af0ce703f606fc6a40ef35baec4e07d1fbf8eb9b547f649a5df171fc1a	418537	False	False
ERIC:EJ1320005	review-packet:6367ef350d1469e923a9ede079913e82f7494d5a1da154f92f36386672af1de8	pending						False	False
ERIC:EJ1324293	review-packet:0d7b4967c30169d3e7206927dd0bdea48439b8cb1be30db8dfe1d934339cd870	pending						False	False
ERIC:EJ1400364	review-packet:ea380340ec3d93b33ef79508fd541180f0518405cb7990b4eba0446e8f26cc83	pending						False	False
ERIC:EJ1413583	review-packet:4b1556ad2a933e7670785c6206d3851890f2d43f3977d2dea2c696bced9d828f	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/0d/0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85.pdf	0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	http-retrieval:0dcd7e0417649e76d5599bf5ab1b1f67c9ccca996c1b05567b88408d8b909a85	245188	False	False
ERIC:EJ1437235	review-packet:3048cfad3b9a92f71b2cfc088a9e57a39c05a4947ae7a22f735bdf154e0a6c4e	verified	/home/c/Documents/code/dashi_agda-esd-ledger-check/.round1-retrieval/cache/c4/c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d.pdf	c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	http-retrieval:c44c2e54741cdaa995c3ec8873902fef018f003589776ff325ddde9483c9ab6d	340624	False	False
ERIC:EJ1493462	review-packet:d0c002b4b7131f9c068ec71a2c11929ebab4763fe3cdf2105d35fdefa0f16d44	pending						False	False
ERIC:EJ1496359	review-packet:800b1579c681634b93db5395cecf6fb157e8aebdba73921709529d9260a65d5e	pending						False	False
ERIC:EJ664861	review-packet:324fa7a0834fee1313ca24ea2dd4cf79856a04d61dd58ddf5b484ec0d623a713	pending						False	False
ERIC:EJ799047	review-packet:fb03996fced5cb43f55d17f018a493ebc2a91d4a12ce25538970e8f8b14b52dd	pending						False	False
ERIC:EJ901403	review-packet:01a855c5cbd3e7b66b4bc6fe98b06d867be6891236bd6494f2694f8bb1dfa037	pending						False	False
