kind	fact	file	line	matched_text
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/DangerScaleEdgeConservationReceipt.agda	240	      YMActual.actualPolymerActivitySupplied ymActualReceipt ≡ true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/ScaleGraphBarrierTargetReceipt.agda	338	      YMActual.actualPolymerActivitySupplied ymActualReceipt ≡ true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMActualPolymerActivityCandidateReceipt.agda	140	      Definition.actualPolymerActivitySupplied definitionReceipt ≡ true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMActualPolymerActivityDefinitionReceipt.agda	225	      actualPolymerActivitySupplied ≡ true
exact_split	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMActualPolymerActivityDefinitionReceipt.agda	297	    ; actualPolymerActivitySupplied = ||         true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMPaper3ClayTargetReceipt.agda	193	      Actual.actualPolymerActivitySupplied actualActivityReceipt ≡ true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMPaper3RoadmapReceipt.agda	177	      YM5.actualPolymerActivitySupplied ym5Receipt ≡ true
exact	actualPolymerActivitySupplied	DASHI/Physics/Closure/YMPolymerActivityStrictAbsorptionBridgeReceipt.agda	471	      actualPolymerActivitySupplied ≡ true
exact	balabanRGTransferProved	DASHI/Physics/Closure/ActualPolymerActivityDefinitionReceipt.agda	472	      balabanRGTransferProved ≡ true
exact_split	balabanRGTransferProved	DASHI/Physics/Closure/ActualPolymerActivityDefinitionReceipt.agda	609	    ; balabanRGTransferProved = ||         true
exact	balabanRGTransferProved	DASHI/Physics/Closure/YMActualP7WilsonPolymerActivityReceipt.agda	471	      balabanRGTransferProved ≡ true
exact_split	balabanRGTransferProved	DASHI/Physics/Closure/YMActualP7WilsonPolymerActivityReceipt.agda	672	    ; balabanRGTransferProved = ||         true
exact	balabanRGTransferProved	DASHI/Physics/Closure/YMBalabanRGInductionCandidateReceipt.agda	466	      balabanRGTransferProved ≡ true
exact_split	balabanRGTransferProved	DASHI/Physics/Closure/YMBalabanRGInductionCandidateReceipt.agda	618	    ; balabanRGTransferProved = ||         true
exact	balabanRGTransferProved	DASHI/Physics/Closure/YMFinalStateReceipt.agda	243	      RGI.balabanRGTransferProved balabanRGInductionCandidateReceipt ≡ true
exact	balabanRGTransferProved	DASHI/Physics/Closure/YMH3aContinuumIntakeReceipt.agda	273	      BalabanRG.balabanRGTransferProved balabanRGReceipt ≡ true
exact	continuumUniquenessConstructed	DASHI/Physics/Closure/YMFinalStateReceipt.agda	291	      TD.continuumUniquenessConstructed thermodynamicBundleReceipt ≡ true
exact	continuumUniquenessConstructed	DASHI/Physics/Closure/YMFinalStateReceipt.agda	443	      continuumUniquenessConstructed ≡ true
exact_split	continuumUniquenessConstructed	DASHI/Physics/Closure/YMFinalStateReceipt.agda	660	    ; continuumUniquenessConstructed = ||         true
exact	continuumUniquenessConstructed	DASHI/Physics/Closure/YMThermodynamicOSWightmanOperatorBoundaryReceipt.agda	256	      continuumUniquenessConstructed ≡ true
exact_split	continuumUniquenessConstructed	DASHI/Physics/Closure/YMThermodynamicOSWightmanOperatorBoundaryReceipt.agda	338	    ; continuumUniquenessConstructed = ||         true
