module	ordinal	declaration
Archimedes369	1	three_le_cast
Archimedes369	2	cast_pos
Archimedes369	3	pi_div_pos
Archimedes369	4	pi_div_lt_pi_div_two
Archimedes369	5	cos_pi_div_pos
Archimedes369	6	sin_pi_div_pos
Archimedes369	7	lower_lt_pi
Archimedes369	8	pi_lt_upper
Archimedes369	9	lower_lt_upper
Archimedes369	10	lower_pos
Archimedes369	11	upper_pos
Archimedes369	12	inArea_eq
Archimedes369	13	inArea_lt_pi
Archimedes369	14	upper_two_mul
Archimedes369	15	lower_two_mul
Archimedes369	16	lower_lt_lower_two_mul
Archimedes369	17	upper_two_mul_lt_upper
Archimedes369	18	tendsto_pi_div
Archimedes369	19	tendsto_sinc
Archimedes369	20	tendsto_cos_pi_div
Archimedes369	21	tendsto_lower
Archimedes369	22	tendsto_upper
Archimedes369	23	tendsto_inArea
Archimedes369	24	lower_three
Archimedes369	25	upper_three
Archimedes369	26	lower_four
Archimedes369	27	upper_four
Archimedes369	28	lower_six
Archimedes369	29	upper_six
Archimedes369	30	sin_pi_div_twelve
Archimedes369	31	cos_pi_div_twelve
Archimedes369	32	tan_pi_div_twelve
Archimedes369	33	lower_twelve
Archimedes369	34	upper_twelve
Archimedes369	35	hexagon_bounds
Archimedes369	36	twelve_gon_bounds
Archimedes369	37	sin_pi_div_nine_cubic
Archimedes369	38	sin_pi_div_nine_bounds
Archimedes369	39	lower_nine_bounds
ArchimedesNinetySix	1	harm_mono_lower
ArchimedesNinetySix	2	harm_mono_upper
ArchimedesNinetySix	3	bounds_two_mul
ArchimedesNinetySix	4	bounds_six
ArchimedesNinetySix	5	bounds_twelve
ArchimedesNinetySix	6	bounds_twentyfour
ArchimedesNinetySix	7	bounds_fortyeight
ArchimedesNinetySix	8	bounds_ninetysix
ArchimedesNinetySix	9	archimedes_bounds
ArchimedesSpin	1	abs_wrap_le
ArchimedesSpin	2	wrap_rot
ArchimedesSpin	3	cos_wrap_pos
ArchimedesSpin	4	cos_pi_div_le_cos_wrap
ArchimedesSpin	5	radius_rot
ArchimedesSpin	6	radius_mul_cos_wrap
ArchimedesSpin	7	radius_le_one
ArchimedesSpin	8	le_radius
ArchimedesSpin	9	radius_edge_center
ArchimedesSpin	10	radius_vertex
ArchimedesSpin	11	isGLB_radius
ArchimedesSpin	12	isLUB_radius
ArchimedesSpin	13	sweptArea_eq
ArchimedesSpin	14	tendsto_sweptArea
ArchimedesSpin	15	frustum_volume
ArchimedesSpin	16	revVolume_sum
ArchimedesSpin	17	revVolume_eq
ArchimedesSpin	18	revVolume_two
ArchimedesSpin	19	revVolume_three
ArchimedesSpin	20	revVolume_six
ArchimedesSpin	21	tendsto_revVolume
ArchimedesSpin	22	neg_inv_circle
ArchimedesSpin	23	vertex_zero
ArchimedesSpin	24	norm_vertex
ArchimedesSpin	25	S_vertex
ArchimedesSpin	26	vertex_twelve_one
