module	sha256	lines	declarations	imports
Archimedes369	3642fe253921e95da056302654ea76aa6da0564ccfc762897e70ed94f273bc11	345	39	Mathlib
ArchimedesNinetySix	b04468675150478726d53b966886de449b75f915b5210e5676d2db16c833aaf7	146	9	Mathlib;RequestProject.Archimedes369
ArchimedesSpin	47af5c78c46077c48ed1c51f856e694d1ba2a1b3714715b29ff9101dee2e52bd	366	27	Mathlib;RequestProject.Archimedes369
BaseGeneral	dca43f7dfc6e664b7c3086dfec2bf75cf3085be29c66c67a20a6bd56b9a1edda	288	31	Mathlib;RequestProject.Tesla369
DeltaGraph	104475e0fdb956197817401c1765ca48269c1e2e3f75c4f14e1466302cc93dbb	179	24	Mathlib;RequestProject.Tesla369;RequestProject.Hecke23
DeltaModular	13616656b8f7f6b585ae89a36251b2c74794dcac3f159d87073052dccead5fe7	323	31	Mathlib
DeltaWordGraphs	2aff96beec88c28999131f5ec06ecfe395f070bb7382dde3ea55a97659d0da34	272	32	Mathlib;RequestProject.DeltaGraph
FibVortex	a93ad8757124c7aeb863c6813f3fc953be0665ad9d8b244f2367225983622560	121	7	Mathlib;RequestProject.Tesla369
Hecke23	c433699f95c7f067c772fd9223e444869ba4e4e54907b37d4db34616572676bc	115	10	Mathlib
HeckeGeneral	a45235046a9f46c7fb0b8c86282db5be52f8637ee309096e0dfbc0b4b013c2cf	155	8	Mathlib;RequestProject.Hecke23
HeckeWords	893eaa885ca57e4698767e38903a02e20702086cb0661e64f295b504d2589a03	223	26	Mathlib;RequestProject.Hecke23
Main	929b0bddef0b781f3fb42c7a99f252dc0bda7331f698104f7075e12ff637c52d	24	0	Mathlib
Sieve23	ea9a01ce323cad055781c4649d16269f9cf2f81d6e10e6e8027673e5b0a7cda3	109	12	Mathlib;RequestProject.Tesla369
SieveGeneral	eab92a4e044022465ca5e25bab13525147d5eb740bc1fb852cacfa781cc7611e	194	13	Mathlib;RequestProject.Sieve23
T2vsT3	33eda89c443c6060bc1cc3facee7b3154ebaf89f6abe4e2f0fdb3f0f1e9862ab	287	34	Mathlib;RequestProject.DeltaWordGraphs
T2vsT3Delta	7a54bff35360ac70d89bcab98e220d50fa0d2ca2771921376649e2ee01233391	320	31	Mathlib;RequestProject.T2vsT3
Tesla369	fdce91aae59877bbbc31dbc96ab86547debb0555e624bec365fd60d63d8faf10	304	29	Mathlib
VerticalWalls	24619f9250457c3e9e99f52f271f36656ceb836caed098f2a08846503bed3dc7	531	46	Mathlib;RequestProject.DeltaGraph
