module	theorem	polarity	bridge_surface
Core	Wikidata.Ontology.subclassOf_trans	positive	structural
Core	Wikidata.Ontology.instanceOf_trans_subclassOf	positive	structural
Engine	Wikidata.KB.isSubclassOf_iff	positive	checker_exactness
Engine	Wikidata.KB.isInstanceOf_iff	positive	checker_exactness
DisjointUnion	Wikidata.KB.isDisjointUnion_of_dunOk	positive	checker_soundness
ClassAlgebra	Wikidata.KB.isUnion_of_unionOk	positive	checker_soundness
ClassAlgebra	Wikidata.KB.isIntersection_of_interOk	positive	checker_soundness
Alignment	Wikidata.Ontology.Alignment.subclassOf_iff	positive	alignment
Alignment	Wikidata.Ontology.Alignment.no_common_instance_of_disjoint	positive	alignment
Semantics	Wikidata.Ontology.semSubclassOf_iff	positive	semantics
Semantics	Wikidata.Ontology.semInstanceOf_iff	positive	semantics
Paths	Wikidata.Ontology.eval_star_p279_iff	positive	path_exactness
Paths	Wikidata.Ontology.eval_p31_star_p279_iff	positive	path_exactness
Provenance	Wikidata.RKB.valid_sourced	positive	provenance
Provenance	Wikidata.RKB.valid_reliable	positive	provenance
Ranks	Wikidata.Claim.not_isTruthy_deprecated	negative	data_model
Snaks	Wikidata.SnakBase.satisfiable_iff_clashFreeB	positive	checker_exactness
Temporal	Wikidata.TKB.valid_snapshot	positive	context
TypeProperties	Wikidata.Profile.completeB_iff	positive	checker_exactness
Schemas	Wikidata.PKB.conformsB_iff	positive	checker_exactness
ExternalIds	Wikidata.IdKB.idOf_eq_some_iff_itemById_eq_some	positive	identity
Sitelinks	Wikidata.SiteKB.pageOf_eq_some_iff_itemOf_eq_some	positive	identity
Lexemes	Wikidata.LexBase.meansB_iff_instanceOf	positive	lexical
ItemMerge	Wikidata.KB.subclassOf_rename	positive	preservation
ItemMerge	Wikidata.KB.instanceOf_rename	positive	preservation
Redundancy	Wikidata.KB.dropSub_valid	positive	repair
Redundancy	Wikidata.KB.dropSub_isSubclassOf	positive	repair
Redundancy	Wikidata.KB.dropSub_isInstanceOf	positive	repair
Diagnostics	Wikidata.KB.errors_eq_nil_iff_valid	positive	diagnostic
Diagnostics	Wikidata.KB.warning_prunable	positive	repair
Rdf	Wikidata.Rdf.fullGraph_injective	positive	rdf
Rdf	Wikidata.Rdf.entails_sound	positive	rdf
Rdf	Wikidata.Rdf.entails_sub_iff	positive	rdf
Rdf	Wikidata.Rdf.entails_inst_iff	positive	rdf
Rdf	Wikidata.Rdf.entails_iff_isSubclassOf	positive	rdf
Mereology	Wikidata.MKB.part_not_subclass	negative	constraint
Mereology	Wikidata.MKB.part_not_instance	negative	constraint
Stratification	Wikidata.KB.properSuper_wf	positive	structural
Stratification	Wikidata.KB.topoSort_pairwise	positive	structural
ClassAlgebra	Wikidata.ClassAlgebraExample.artistKB_unionOk	positive	source_regression
ClassAlgebra	Wikidata.ClassAlgebraExample.artistKB_not_dunOk	negative	source_regression
ClassAlgebra	Wikidata.ClassAlgebraExample.artistKB_interOk	positive	source_regression
Diagnostics	Wikidata.KB.brokenKB_not_valid	negative	source_regression
Diagnostics	Wikidata.KB.brokenKB_cycles	positive	source_regression
Diagnostics	Wikidata.KB.brokenKB_disjoint	positive	source_regression
Redundancy	Wikidata.KB.redundantKB_valid	positive	source_regression
Redundancy	Wikidata.KB.redundantKB_pruned	positive	source_regression
Alignment	Wikidata.AlignmentExample.bad_links_alignOk_false	negative	source_regression
Rdf	Wikidata.RdfExample.adams_entity_computed	positive	source_regression
